API,oil/day,Date
05123454580000,112.45,10/1/20
05123454580000,107.77,11/1/20
05123454580000,93.26,12/1/20
05123454580000,87.84,1/1/21
05123454580000,84.54,2/1/21
05123454580000,78.58,3/1/21
05123454580000,81.10,4/1/21
05123454580000,73.65,5/1/21
05123454580000,71.37,6/1/21
05123454580000,63.45,7/1/21
05123454580000,61.39,8/1/21
05123454580000,59.13,9/1/21
05123454580000,59.39,10/1/21
05123454580000,56.70,11/1/21
05123454580000,54.16,12/1/21
05123454520000,13.83,7/1/19
05123454520000,303.06,8/1/19
05123454520000,486.53,9/1/19
05123454520000,469.61,10/1/19
05123454520000,387.13,11/1/19
05123454520000,325.19,12/1/19
05123454520000,427.03,1/1/20
05123454520000,230.76,2/1/20
05123454520000,180.23,3/1/20
05123454520000,146.87,4/1/20
05123454520000,134.87,5/1/20
05123454520000,119.77,6/1/20
05123454520000,104.90,7/1/20
05123454520000,94.52,8/1/20
05123454520000,89.37,9/1/20
05123454520000,81.13,10/1/20
05123454520000,73.33,11/1/20
05123454520000,62.26,12/1/20
05123454520000,58.61,1/1/21
05123454520000,55.04,2/1/21
05123454520000,55.71,3/1/21
05123454520000,50.17,4/1/21
05123454520000,46.32,5/1/21
05123454520000,44.10,6/1/21
05123454520000,41.77,7/1/21
05123454520000,39.55,8/1/21
05123454520000,37.90,9/1/21
05123454520000,35.58,10/1/21
05123454520000,35.30,11/1/21
05123454520000,33.03,12/1/21
05123454460000,264.53,8/1/19
05123454460000,432.80,9/1/19
05123454460000,318.14,10/1/19
05123454460000,407.67,11/1/19
05123454460000,320.03,12/1/19
05123454460000,248.06,1/1/20
05123454460000,198.45,2/1/20
05123454460000,175.26,3/1/20
05123454460000,156.30,4/1/20
05123454460000,133.13,5/1/20
05123454460000,106.50,6/1/20
05123454460000,101.35,7/1/20
05123454460000,87.55,8/1/20
05123454460000,76.13,9/1/20
05123454460000,73.23,10/1/20
05123454460000,54.20,11/1/20
05123454460000,15.21,12/1/20
05123454460000,41.29,1/1/21
05123454460000,33.14,2/1/21
05123454460000,43.13,3/1/21
05123454460000,40.13,4/1/21
05123454460000,38.71,5/1/21
05123454460000,33.93,6/1/21
05123454460000,32.26,7/1/21
05123454460000,33.61,8/1/21
05123454460000,30.47,9/1/21
05123454460000,29.39,10/1/21
05123454460000,26.53,11/1/21
05123454460000,28.19,12/1/21
05123454440000,300.00,8/1/19
05123454440000,395.27,9/1/19
05123454440000,427.67,10/1/19
05123454440000,379.33,11/1/19
05123454440000,345.39,12/1/19
05123454440000,242.90,1/1/20
05123454440000,227.62,2/1/20
05123454440000,174.68,3/1/20
05123454440000,158.03,4/1/20
05123454440000,115.65,5/1/20
05123454440000,110.57,6/1/20
05123454440000,98.61,7/1/20
05123454440000,90.48,8/1/20
05123454440000,83.87,9/1/20
05123454440000,73.03,10/1/20
05123454440000,68.03,11/1/20
05123454440000,67.06,12/1/20
05123454440000,61.68,1/1/21
05123454440000,57.43,2/1/21
05123454440000,48.45,3/1/21
05123454440000,48.07,4/1/21
05123454440000,44.23,5/1/21
05123454440000,35.43,6/1/21
05123454440000,34.74,7/1/21
05123454440000,34.42,8/1/21
05123454440000,30.87,9/1/21
05123454440000,29.55,10/1/21
05123454440000,27.73,11/1/21
05123454440000,28.74,12/1/21
05123454430000,294.56,8/1/19
05123454430000,407.27,9/1/19
05123454430000,475.92,10/1/19
05123454430000,292.60,11/1/19
05123454430000,271.03,12/1/19
05123454430000,215.14,1/1/20
05123454430000,162.47,2/1/20
05123454430000,198.32,3/1/20
05123454430000,178.13,4/1/20
05123454430000,157.65,5/1/20
05123454430000,128.90,6/1/20
05123454430000,111.13,7/1/20
05123454430000,99.42,8/1/20
05123454430000,97.00,9/1/20
05123454430000,91.84,10/1/20
05123454430000,81.90,11/1/20
05123454430000,67.65,12/1/20
05123454430000,67.77,1/1/21
05123454430000,66.79,2/1/21
05123454430000,67.52,3/1/21
05123454430000,60.27,4/1/21
05123454430000,51.10,5/1/21
05123454430000,49.03,6/1/21
05123454430000,46.68,7/1/21
05123454430000,44.13,8/1/21
05123454430000,42.80,9/1/21
05123454430000,39.23,10/1/21
05123454430000,35.90,11/1/21
05123454430000,34.42,12/1/21
05123454400000,412.88,8/1/19
05123454400000,588.83,9/1/19
05123454400000,695.74,10/1/19
05123454400000,539.13,11/1/19
05123454400000,325.13,12/1/19
05123454400000,262.03,1/1/20
05123454400000,182.24,2/1/20
05123454400000,140.94,3/1/20
05123454400000,108.47,4/1/20
05123454400000,93.77,5/1/20
05123454400000,77.57,6/1/20
05123454400000,66.84,7/1/20
05123454400000,51.61,8/1/20
05123454400000,59.67,9/1/20
05123454400000,50.13,10/1/20
05123454400000,41.03,11/1/20
05123454400000,37.84,12/1/20
05123454400000,39.03,1/1/21
05123454400000,35.07,2/1/21
05123454400000,25.81,3/1/21
05123454400000,28.57,4/1/21
05123454400000,25.71,5/1/21
05123454400000,26.20,6/1/21
05123454400000,24.77,7/1/21
05123454400000,22.23,8/1/21
05123454400000,20.70,9/1/21
05123454400000,21.06,10/1/21
05123454400000,20.30,11/1/21
05123454400000,18.74,12/1/21
05123454390000,532.97,8/1/19
05123454390000,529.60,9/1/19
05123454390000,475.48,10/1/19
05123454390000,351.20,11/1/19
05123454390000,263.87,12/1/19
05123454390000,166.94,1/1/20
05123454390000,170.97,2/1/20
05123454390000,105.81,3/1/20
05123454390000,86.03,4/1/20
05123454390000,74.00,5/1/20
05123454390000,64.80,6/1/20
05123454390000,56.97,7/1/20
05123454390000,42.77,8/1/20
05123454390000,42.97,9/1/20
05123454390000,29.84,10/1/20
05123454390000,21.20,11/1/20
05123454390000,26.97,12/1/20
05123454390000,25.19,1/1/21
05123454390000,22.11,2/1/21
05123454390000,14.77,3/1/21
05123454390000,22.80,4/1/21
05123454390000,18.68,5/1/21
05123454390000,17.97,6/1/21
05123454390000,15.94,7/1/21
05123454390000,14.65,8/1/21
05123454390000,13.47,9/1/21
05123454390000,13.94,10/1/21
05123454390000,13.47,11/1/21
05123454390000,12.65,12/1/21
05123454300000,423.81,8/1/19
05123454300000,506.13,9/1/19
05123454300000,514.87,10/1/19
05123454300000,416.70,11/1/19
05123454300000,358.73,12/1/19
05123454300000,289.84,1/1/20
05123454300000,266.48,2/1/20
05123454300000,205.45,3/1/20
05123454300000,172.00,4/1/20
05123454300000,157.17,5/1/20
05123454300000,131.90,6/1/20
05123454300000,114.23,7/1/20
05123454300000,96.39,8/1/20
05123454300000,84.53,9/1/20
05123454300000,73.10,10/1/20
05123454300000,63.77,11/1/20
05123454300000,57.39,12/1/20
05123454300000,53.39,1/1/21
05123454300000,48.71,2/1/21
05123454300000,41.94,3/1/21
05123454300000,43.00,4/1/21
05123454300000,37.55,5/1/21
